PVMonth,PVDay,PVHour,TotalkWh,AvgkWh,MaxkWh,MinkWh,ProdkWh62032213_2019,ProdkWh62032213_2020,ProdkWh62032213_2021,ProdkWh62032213_2022,ProdkWh84071567_2019,ProdkWh84071567_2020,ProdkWh84071567_2021,ProdkWh84071567_2022,ProdkWh84071569_2019,ProdkWh84071569_2020,ProdkWh84071569_2021,ProdkWh84071569_2022,ProdkWh84071570_2019,ProdkWh84071570_2020,ProdkWh84071570_2021,ProdkWh84071570_2022
6,18,7,1.99,0.12,0.28,0.0,0.2,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.28,0.0,0.28,0.28,0.15,0.0,0.15,0.15
6,18,8,15.54,0.97,2.25,0.0,0.8,1.0,0.2,0.4,0.49,0.68,1.17,0.49,1.1,0.0,1.38,1.38,1.2,1.5,2.25,1.5
6,18,9,37.07,2.32,4.65,0.0,1.2,3.79,0.2,1.4,1.57,2.25,1.66,1.66,1.65,0.0,3.03,2.76,2.85,3.9,4.5,4.65
6,18,10,65.72,4.11,7.95,0.0,1.8,7.39,0.8,2.6,3.42,3.13,3.13,4.7,1.93,0.0,5.51,5.51,6.3,7.05,4.5,7.95
6,18,11,104.81,6.55,10.8,0.0,4.59,8.58,4.39,5.19,5.48,8.8,5.38,3.91,3.86,0.0,9.38,9.1,7.8,10.5,7.05,10.8
6,18,12,134.36,8.4,12.75,0.0,6.99,10.98,6.59,10.38,7.04,11.74,5.67,6.65,4.96,0.0,11.58,11.58,8.25,12.15,7.05,12.75
6,18,13,162.62,10.16,14.37,0.0,5.19,14.37,10.38,13.18,11.25,13.7,8.12,11.35,4.96,0.0,11.86,12.96,9.3,13.05,9.45,13.5
6,18,14,169.0,10.56,14.89,0.0,3.79,11.78,8.78,14.37,11.15,14.48,10.27,14.09,3.86,0.0,14.89,13.24,11.85,13.65,9.15,13.65
6,18,15,166.5,10.41,14.37,0.0,3.19,13.78,6.79,14.37,5.77,13.79,10.37,13.01,11.03,0.0,14.34,12.96,11.4,13.2,10.5,12.0
6,18,16,143.18,8.95,13.79,0.0,4.59,11.38,7.99,11.38,5.28,13.79,5.67,6.95,12.68,0.0,13.51,11.86,10.8,11.55,7.8,7.95
6,18,17,120.05,7.5,12.23,0.0,2.4,9.78,7.59,9.98,3.03,12.23,7.53,9.1,9.1,0.0,11.31,9.65,6.9,9.3,5.1,7.05
6,18,18,91.01,5.69,9.98,0.0,3.39,8.98,3.59,6.19,2.93,9.98,9.29,5.09,5.51,0.0,7.72,6.89,5.25,6.0,5.7,4.5
6,18,19,47.1,2.94,6.36,0.0,1.8,4.79,1.0,2.4,1.27,6.36,3.72,4.21,3.03,0.0,4.14,3.58,1.65,2.55,3.75,2.85
6,18,20,15.15,0.95,1.86,0.0,0.6,1.2,0.0,1.0,0.59,1.86,1.08,1.37,1.1,0.0,1.65,1.1,0.6,0.75,1.05,1.2
6,18,21,2.71,0.17,0.3,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.28,0.0,0.0,0.28,0.3,0.15,0.15,0.15
6,19,7,2.06,0.13,0.3,0.0,0.0,0.2,0.0,0.2,0.1,0.2,0.0,0.2,0.0,0.0,0.28,0.28,0.0,0.3,0.15,0.15
6,19,8,13.2,0.82,1.65,0.0,0.4,0.8,0.6,1.0,0.98,0.49,0.2,0.68,1.1,0.0,1.65,1.1,1.05,1.35,0.3,1.5
6,19,9,41.4,2.59,4.41,0.0,1.4,3.99,2.99,2.0,2.35,2.74,1.17,1.86,2.76,0.0,4.41,3.58,3.3,3.6,1.05,4.2
6,19,10,83.54,5.22,7.79,0.0,3.19,7.79,5.79,5.39,3.91,4.4,5.18,4.79,5.79,0.0,7.72,6.34,4.2,7.65,4.8,6.6
6,19,11,119.31,7.46,11.1,0.0,4.59,10.78,9.78,6.39,5.48,8.8,5.77,7.63,5.51,0.0,9.65,9.38,6.75,11.1,8.85,8.85
6,19,12,125.77,7.86,12.98,0.0,6.99,12.98,7.99,8.39,5.09,11.84,6.55,7.83,2.21,0.0,4.14,11.86,9.45,12.75,9.6,8.1
6,19,13,147.26,9.2,14.17,0.0,5.19,14.17,8.78,6.99,6.46,13.5,8.32,10.37,12.13,0.0,5.24,13.51,10.5,13.5,7.35,11.25
6,19,14,158.54,9.91,14.57,0.0,7.19,14.57,12.18,5.59,12.03,14.28,9.78,5.87,14.34,0.0,8.27,13.79,11.7,13.65,10.05,5.25
6,19,15,152.4,9.52,14.55,0.0,4.99,14.17,5.19,9.38,10.66,14.28,10.96,6.75,12.41,0.0,7.17,13.24,14.55,12.9,11.55,4.2
6,19,16,145.95,9.12,13.7,0.0,5.19,12.78,11.78,6.59,6.85,13.7,13.7,6.36,12.96,0.0,3.86,12.13,10.95,11.55,11.7,5.85
6,19,17,131.55,8.22,12.33,0.0,7.19,10.78,7.99,10.18,6.26,12.33,11.64,7.34,11.03,0.0,3.86,9.65,6.75,9.15,10.2,7.2
6,19,18,92.39,5.77,9.78,0.0,3.79,8.19,8.58,6.19,7.14,9.78,7.53,4.99,8.55,0.0,1.38,6.62,2.85,6.0,6.0,4.8
6,19,19,57.6,3.6,6.16,0.0,4.59,4.39,4.99,3.99,4.11,6.16,4.11,4.89,4.69,0.0,0.55,3.58,2.4,2.55,3.15,3.45
6,19,20,20.53,1.28,1.96,0.0,1.6,1.0,1.6,1.2,1.86,1.76,1.17,1.96,1.65,0.0,0.83,1.1,1.65,0.75,1.35,1.05
6,19,21,4.08,0.26,0.6,0.0,0.2,0.2,0.2,0.4,0.39,0.29,0.29,0.2,0.28,0.0,0.0,0.28,0.6,0.3,0.3,0.15
6,20,7,1.48,0.09,0.28,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.28,0.0,0.0,0.15,0.0,0.15
